Entity,Code,Year,cancer_percent,incidence,over65_percent,HDI,life_expectancy,population,urban_percentage,mean_school,GDP_per_capita,equator_dist,BMI,pesticide,cig_prevalence,cig_per_smoker,vegetable,fat,meat,protein,milk,fruit,calories
Albania,ALB,1990,0.771156652,186.3087313,5.494978353,0.644,71.836,3286000,36.428,7.83,4099,4598.018985,24.70780487,0.17,21.200001,16.4,79.71,60.92,17,77.62,151.03,87.56164382,2568
Albania,ALB,1991,0.78274823,190.046659,5.648770956,0.625,71.803,3280000,36.7,7.8,3799,4598.018985,24.75622729,0.17,21.299999,16.299999,87.97,68.58,20.61,78.73,168.83,72.19178081,2572
Albania,ALB,1992,0.781771336,187.6465808,5.827499795,0.608,71.802,3246000,37.249,7.8,3520,4598.018985,24.80617417,0.17,21.299999,16.299999,129.9,69.9,20.07,85.19,183.18,53.64383561,2654
Albania,ALB,1993,0.780818371,184.7704037,6.025915757,0.611,71.86,3195000,37.799,7.8,4054,4598.018985,24.85813967,0.17,21.299999,16.200001,147.69,74.06,22.12,88.74,190.87,95.53424656,2795
Albania,ALB,1994,0.782418901,181.4197218,6.230599593,0.617,71.992,3147000,38.354,7.8,4551,4598.018985,24.9126409,0.29,21.4,16.1,156.34,74.98,24.94,94.08,233.35,105.5068493,2877
Albania,ALB,1995,0.793050087,183.1788172,6.432480462,0.629,72.205,3113000,38.911,8,4685,4598.018985,24.97017378,0.36,21.299999,16.1,143.28,78.01,25.86,89.77,271.85,110.4657534,2717
Albania,ALB,1996,0.809357675,187.5789779,6.563784813,0.639,72.495,3099000,39.473,8.2,5474,4598.018985,25.03156383,0.37,21.200001,16,165.43,82.86,27.1,94.47,295.56,126.1369863,2843
Albania,ALB,1997,0.823076936,191.4416399,6.682599124,0.639,72.838,3100000,40.035,8.3,4406,4598.018985,25.09699599,0.39,20.9,16.299999,149,73.15,21.81,89.03,248.64,113.1780822,2725
Albania,ALB,1998,0.840396193,195.0335889,6.797480424,0.649,73.208,3111000,40.601,8.5,4355,4598.018985,25.16716993,0.41,20.6,16.5,162.82,74.79,23.58,88.42,234.04,131.5890411,2725
Albania,ALB,1999,0.862552571,199.906515,6.920844385,0.66,73.587,3123000,41.169,8.6,5016,4598.018985,25.24155428,0.42,20.299999,16.700001,154.37,76.82,31.58,92.76,237.99,157.9178082,2797
Albania,ALB,2000,0.87678883,200.7083281,7.058160712,0.667,73.955,3129000,41.741,8.8,5183,4598.018985,25.31930673,0.44,20,16.799999,156.77,75.56,26.91,90.39,246.21,193.2328767,2734
Albania,ALB,2001,0.891745912,201.600591,7.314589495,0.673,74.288,3130000,42.435,8.7,5409,4598.018985,25.40233498,0.45,19.700001,17.1,162.74,79.98,31.47,92.83,255.99,228.9863013,2803
Albania,ALB,2002,0.913635467,204.0495027,7.592252159,0.68,74.579,3126000,43.501,9,5489,4598.018985,25.48967863,0.47,19.4,17.4,172.08,81.06,37.79,97.92,263.88,239.2876712,2864
Albania,ALB,2003,0.934813692,206.3451809,7.887145156,0.687,74.828,3118000,44.573,9,5804,4598.018985,25.58057169,0.48,18.700001,18.200001,185.21,82.36,37.87,95.79,285.68,252.0821917,2772
Albania,ALB,2004,0.953381463,207.9645799,8.191170579,0.692,75.039,3105000,45.651,9.1,6094,4598.018985,25.67405212,0.5,18.1,18.9,184.53,88.72,39.65,95.27,285.68,258.4931506,2792
